Code,Name,Message,Details,Parent_Group
PTH119,os-path-basename,os.path.basename() should be replaced by Path.name,ğŸ› ï¸,PTH
PTH120,os-path-dirname,os.path.dirname() should be replaced by Path.parent,ğŸ› ï¸,PTH
PTH121,os-path-samefile,os.path.samefile() should be replaced by Path.samefile(),ğŸ› ï¸,PTH
PTH122,os-path-splitext,"os.path.splitext() should be replaced by Path.suffix, Path.stem, and Path.parent",,PTH
PTH123,builtin-open,open() should be replaced by Path.open(),ğŸ› ï¸,PTH
PTH124,py-path,"py.path is in maintenance mode, use pathlib instead",,PTH
PTH201,path-constructor-current-directory,Do not pass the current directory explicitly to Path,ğŸ› ï¸,PTH
PTH202,os-path-getsize,os.path.getsize should be replaced by Path.stat().st_size,ğŸ› ï¸,PTH
PTH203,os-path-getatime,os.path.getatime should be replaced by Path.stat().st_atime,ğŸ› ï¸,PTH
PTH204,os-path-getmtime,os.path.getmtime should be replaced by Path.stat().st_mtime,ğŸ› ï¸,PTH
PTH205,os-path-getctime,os.path.getctime should be replaced by Path.stat().st_ctime,ğŸ› ï¸,PTH
PTH206,os-sep-split,Replace .split(os.sep) with Path.parts,,PTH
PTH207,glob,Replace {function} with Path.glob or Path.rglob,,PTH
PTH208,os-listdir,Use pathlib.Path.iterdir() instead.,,PTH
PTH210,invalid-pathlib-with-suffix,Invalid suffix passed to .with_suffix(),ğŸ› ï¸,PTH
PTH211,os-symlink,os.symlink should be replaced by Path.symlink_to,ğŸ› ï¸,PTH
FLY002,static-join-to-f-string,Consider {expression} instead of string join,ğŸ› ï¸,FLY
I001,unsorted-imports,Import block is un-sorted or un-formatted,ğŸ› ï¸,I
I002,missing-required-import,Missing required import: {name},ğŸ› ï¸,I
C901,complex-structure,{name} is too complex ({complexity} > {max_complexity}),,C
NPY001,numpy-deprecated-type-alias,"Type alias np.{type_name} is deprecated, replace with builtin type",ğŸ› ï¸,NPY
NPY002,numpy-legacy-random,Replace legacy np.random.{method_name} call with np.random.Generator,,NPY
NPY003,numpy-deprecated-function,np.{existing} is deprecated; use np.{replacement} instead,ğŸ› ï¸,NPY
NPY201,numpy2-deprecation,np.{existing} will be removed in NumPy 2.0. {migration_guide},ğŸ› ï¸,NPY
PD002,pandas-use-of-inplace-argument,inplace=True should be avoided; it has inconsistent behavior,ğŸ› ï¸,PD
PD003,pandas-use-of-dot-is-null,.isna is preferred to .isnull; functionality is equivalent,,PD
PD004,pandas-use-of-dot-not-null,.notna is preferred to .notnull; functionality is equivalent,,PD
PD007,pandas-use-of-dot-ix,.ix is deprecated; use more explicit .loc or .iloc,,PD
PD008,pandas-use-of-dot-at,"Use .loc instead of .at. If speed is important, use NumPy.",,PD
PD009,pandas-use-of-dot-iat,"Use .iloc instead of .iat. If speed is important, use NumPy.",,PD
PD010,pandas-use-of-dot-pivot-or-unstack,.pivot_table is preferred to .pivot or .unstack; provides same functionality,,PD
PD011,pandas-use-of-dot-values,Use .to_numpy() instead of .values,,PD
PD012,pandas-use-of-dot-read-table,Use .read_csv instead of .read_table to read CSV files,,PD
PD013,pandas-use-of-dot-stack,.melt is preferred to .stack; provides same functionality,,PD
PD015,pandas-use-of-pd-merge,Use .merge method instead of pd.merge function. They have equivalent functionality.,,PD
PD101,pandas-nunique-constant-series-check,Using series.nunique() for checking that a series is constant is inefficient,,PD
PD901,pandas-df-variable-name,Avoid using the generic variable name df for DataFrames,âŒ,PD
N801,invalid-class-name,Class name {name} should use CapWords convention,,N
N802,invalid-function-name,Function name {name} should be lowercase,,N
N803,invalid-argument-name,Argument name {name} should be lowercase,,N
N804,invalid-first-argument-name-for-class-method,First argument of a class method should be named cls,ğŸ› ï¸,N
N805,invalid-first-argument-name-for-method,First argument of a method should be named self,ğŸ› ï¸,N
N806,non-lowercase-variable-in-function,Variable {name} in function should be lowercase,,N
N807,dunder-function-name,Function name should not start and end with __,,N
N811,constant-imported-as-non-constant,Constant {name} imported as non-constant {asname},,N
N812,lowercase-imported-as-non-lowercase,Lowercase {name} imported as non-lowercase {asname},,N
N813,camelcase-imported-as-lowercase,Camelcase {name} imported as lowercase {asname},,N
N814,camelcase-imported-as-constant,Camelcase {name} imported as constant {asname},,N
N815,mixed-case-variable-in-class-scope,Variable {name} in class scope should not be mixedCase,,N
N816,mixed-case-variable-in-global-scope,Variable {name} in global scope should not be mixedCase,,N
N817,camelcase-imported-as-acronym,CamelCase {name} imported as acronym {asname},,N
N818,error-suffix-on-exception-name,Exception name {name} should be named with an Error suffix,,N
N999,invalid-module-name,Invalid module name: '{name}',,N
PERF101,unnecessary-list-cast,Do not cast an iterable to list before iterating over it,ğŸ› ï¸,PERF
PERF102,incorrect-dict-iterator,When using only the {subset} of a dict use the {subset}() method,ğŸ› ï¸,PERF
PERF203,try-except-in-loop,try-except within a loop incurs performance overhead,,PERF
PERF401,manual-list-comprehension,Use {message_str} to create a transformed list,ğŸ› ï¸,PERF
PERF402,manual-list-copy,Use list or list.copy to create a copy of a list,,PERF
PERF403,manual-dict-comprehension,Use a dictionary comprehension instead of {modifier} for-loop,ğŸ› ï¸,PERF
E101,mixed-spaces-and-tabs,Indentation contains mixed spaces and tabs,,E
E111,indentation-with-invalid-multiple,Indentation is not a multiple of {indent_width},ğŸ§ª,E
E112,no-indented-block,Expected an indented block,ğŸ§ª,E
E113,unexpected-indentation,Unexpected indentation,ğŸ§ª,E
E114,indentation-with-invalid-multiple-comment,Indentation is not a multiple of {indent_width} (comment),ğŸ§ª,E
E115,no-indented-block-comment,Expected an indented block (comment),ğŸ§ª,E
E116,unexpected-indentation-comment,Unexpected indentation (comment),ğŸ§ª,E
E117,over-indented,Over-indented (comment),ğŸ§ª,E
E201,whitespace-after-open-bracket,Whitespace after '{symbol}',ğŸ§ªğŸ› ï¸,E
E202,whitespace-before-close-bracket,Whitespace before '{symbol}',ğŸ§ªğŸ› ï¸,E
E203,whitespace-before-punctuation,Whitespace before '{symbol}',ğŸ§ªğŸ› ï¸,E
E204,whitespace-after-decorator,Whitespace after decorator,ğŸ§ªğŸ› ï¸,E
E211,whitespace-before-parameters,Whitespace before '{bracket}',ğŸ§ªğŸ› ï¸,E
E221,multiple-spaces-before-operator,Multiple spaces before operator,ğŸ§ªğŸ› ï¸,E
E222,multiple-spaces-after-operator,Multiple spaces after operator,ğŸ§ªğŸ› ï¸,E
E223,tab-before-operator,Tab before operator,ğŸ§ªğŸ› ï¸,E
E224,tab-after-operator,Tab after operator,ğŸ§ªğŸ› ï¸,E
E225,missing-whitespace-around-operator,Missing whitespace around operator,ğŸ§ªğŸ› ï¸,E
E226,missing-whitespace-around-arithmetic-operator,Missing whitespace around arithmetic operator,ğŸ§ªğŸ› ï¸,E
E227,missing-whitespace-around-bitwise-or-shift-operator,Missing whitespace around bitwise or shift operator,ğŸ§ªğŸ› ï¸,E
E228,missing-whitespace-around-modulo-operator,Missing whitespace around modulo operator,ğŸ§ªğŸ› ï¸,E
E231,missing-whitespace,Missing whitespace after {},ğŸ§ªğŸ› ï¸,E
E241,multiple-spaces-after-comma,Multiple spaces after comma,ğŸ§ªğŸ› ï¸,E
E242,tab-after-comma,Tab after comma,ğŸ§ªğŸ› ï¸,E
E251,unexpected-spaces-around-keyword-parameter-equals,Unexpected spaces around keyword / parameter equals,ğŸ§ªğŸ› ï¸,E
E252,missing-whitespace-around-parameter-equals,Missing whitespace around parameter equals,ğŸ§ªğŸ› ï¸,E
E261,too-few-spaces-before-inline-comment,Insert at least two spaces before an inline comment,ğŸ§ªğŸ› ï¸,E
E262,no-space-after-inline-comment,Inline comment should start with #,ğŸ§ªğŸ› ï¸,E
E265,no-space-after-block-comment,Block comment should start with #,ğŸ§ªğŸ› ï¸,E
E266,multiple-leading-hashes-for-block-comment,Too many leading # before block comment,ğŸ§ªğŸ› ï¸,E
E271,multiple-spaces-after-keyword,Multiple spaces after keyword,ğŸ§ªğŸ› ï¸,E
E272,multiple-spaces-before-keyword,Multiple spaces before keyword,ğŸ§ªğŸ› ï¸,E
E273,tab-after-keyword,Tab after keyword,ğŸ§ªğŸ› ï¸,E
E274,tab-before-keyword,Tab before keyword,ğŸ§ªğŸ› ï¸,E
E275,missing-whitespace-after-keyword,Missing whitespace after keyword,ğŸ§ªğŸ› ï¸,E
E301,blank-line-between-methods,"Expected {BLANK_LINES_NESTED_LEVEL:?} blank line, found 0",ğŸ§ªğŸ› ï¸,E
E302,blank-lines-top-level,"Expected {expected_blank_lines:?} blank lines, found {actual_blank_lines}",ğŸ§ªğŸ› ï¸,E
E303,too-many-blank-lines,Too many blank lines ({actual_blank_lines}),ğŸ§ªğŸ› ï¸,E
E304,blank-line-after-decorator,Blank lines found after function decorator ({lines}),ğŸ§ªğŸ› ï¸,E
E305,blank-lines-after-function-or-class,"Expected 2 blank lines after class or function definition, found ({blank_lines})",ğŸ§ªğŸ› ï¸,E
E306,blank-lines-before-nested-definition,"Expected 1 blank line before a nested definition, found 0",ğŸ§ªğŸ› ï¸,E
E401,multiple-imports-on-one-line,Multiple imports on one line,ğŸ› ï¸,E
E402,module-import-not-at-top-of-file,Module level import not at top of cell,,E
E501,line-too-long,Line too long ({width} > {limit}),,E
E502,redundant-backslash,Redundant backslash,ğŸ§ªğŸ› ï¸,E
E701,multiple-statements-on-one-line-colon,Multiple statements on one line (colon),,E
E702,multiple-statements-on-one-line-semicolon,Multiple statements on one line (semicolon),,E
E703,useless-semicolon,Statement ends with an unnecessary semicolon,ğŸ› ï¸,E
E711,none-comparison,Comparison to None should be cond is None,ğŸ› ï¸,E
E712,true-false-comparison,Avoid equality comparisons to True; use {cond}: for truth checks,ğŸ› ï¸,E
E713,not-in-test,Test for membership should be not in,ğŸ› ï¸,E
E714,not-is-test,Test for object identity should be is not,ğŸ› ï¸,E
E721,type-comparison,"Use is and is not for type comparisons, or isinstance() for isinstance checks",,E
E722,bare-except,Do not use bare except,,E
E731,lambda-assignment,"Do not assign a lambda expression, use a def",ğŸ› ï¸,E
E741,ambiguous-variable-name,Ambiguous variable name: {name},,E
E742,ambiguous-class-name,Ambiguous class name: {name},,E
E743,ambiguous-function-name,Ambiguous function name: {name},,E
E902,io-error,{message},,E
E999,syntax-error,SyntaxError,âŒ,E
W191,tab-indentation,Indentation contains tabs,,W
W291,trailing-whitespace,Trailing whitespace,ğŸ› ï¸,W
W292,missing-newline-at-end-of-file,No newline at end of file,ğŸ› ï¸,W
W293,blank-line-with-whitespace,Blank line contains whitespace,ğŸ› ï¸,W
W391,too-many-newlines-at-end-of-file,Too many newlines at end of {domain},ğŸ§ªğŸ› ï¸,W
W505,doc-line-too-long,Doc line too long ({width} > {limit}),,W
W605,invalid-escape-sequence,Invalid escape sequence: \{ch},ğŸ› ï¸,W
DOC201,docstring-missing-returns,return is not documented in docstring,ğŸ§ª,DOC
DOC202,docstring-extraneous-returns,Docstring should not have a returns section because the function doesn't return anything,ğŸ§ª,DOC
DOC402,docstring-missing-yields,yield is not documented in docstring,ğŸ§ª,DOC
DOC403,docstring-extraneous-yields,"Docstring has a ""Yields"" section but the function doesn't yield anything",ğŸ§ª,DOC
DOC501,docstring-missing-exception,Raised exception {id} missing from docstring,ğŸ§ª,DOC
DOC502,docstring-extraneous-exception,Raised exception is not explicitly raised: {id},ğŸ§ª,DOC
D100,undocumented-public-module,Missing docstring in public module,,D
D101,undocumented-public-class,Missing docstring in public class,,D
D102,undocumented-public-method,Missing docstring in public method,,D
D103,undocumented-public-function,Missing docstring in public function,,D
D104,undocumented-public-package,Missing docstring in public package,,D
D105,undocumented-magic-method,Missing docstring in magic method,,D
D106,undocumented-public-nested-class,Missing docstring in public nested class,,D
D107,undocumented-public-init,Missing docstring in __init__,,D
D200,unnecessary-multiline-docstring,One-line docstring should fit on one line,ğŸ› ï¸,D
D201,blank-line-before-function,No blank lines allowed before function docstring (found {num_lines}),ğŸ› ï¸,D
D202,blank-line-after-function,No blank lines allowed after function docstring (found {num_lines}),ğŸ› ï¸,D
D203,incorrect-blank-line-before-class,1 blank line required before class docstring,ğŸ› ï¸,D
D204,incorrect-blank-line-after-class,1 blank line required after class docstring,ğŸ› ï¸,D
D205,missing-blank-line-after-summary,1 blank line required between summary line and description,ğŸ› ï¸,D
D206,docstring-tab-indentation,"Docstring should be indented with spaces, not tabs",,D
D207,under-indentation,Docstring is under-indented,ğŸ› ï¸,D
D208,over-indentation,Docstring is over-indented,ğŸ› ï¸,D
D209,new-line-after-last-paragraph,Multi-line docstring closing quotes should be on a separate line,ğŸ› ï¸,D
D210,surrounding-whitespace,No whitespaces allowed surrounding docstring text,ğŸ› ï¸,D
D211,blank-line-before-class,No blank lines allowed before class docstring,ğŸ› ï¸,D
D212,multi-line-summary-first-line,Multi-line docstring summary should start at the first line,ğŸ› ï¸,D
D213,multi-line-summary-second-line,Multi-line docstring summary should start at the second line,ğŸ› ï¸,D
D214,overindented-section,"Section is over-indented (""{name}"")",ğŸ› ï¸,D
D215,overindented-section-underline,"Section underline is over-indented (""{name}"")",ğŸ› ï¸,D
D300,triple-single-quotes,"Use triple double quotes """"""",ğŸ› ï¸,D
D301,escape-sequence-in-docstring,"Use r"""""" if any backslashes in a docstring",ğŸ› ï¸,D
D400,missing-trailing-period,First line should end with a period,ğŸ› ï¸,D
D401,non-imperative-mood,"First line of docstring should be in imperative mood: ""{first_line}""",,D
D402,signature-in-docstring,First line should not be the function's signature,,D
D403,first-word-uncapitalized,First word of the docstring should be capitalized: {} -> {},ğŸ› ï¸,D
D404,docstring-starts-with-this,"First word of the docstring should not be ""This""",,D
D405,non-capitalized-section-name,"Section name should be properly capitalized (""{name}"")",ğŸ› ï¸,D
D406,missing-new-line-after-section-name,"Section name should end with a newline (""{name}"")",ğŸ› ï¸,D
D407,missing-dashed-underline-after-section,"Missing dashed underline after section (""{name}"")",ğŸ› ï¸,D
D408,missing-section-underline-after-name,"Section underline should be in the line following the section's name (""{name}"")",ğŸ› ï¸,D
D409,mismatched-section-underline-length,"Section underline should match the length of its name (""{name}"")",ğŸ› ï¸,D
D410,no-blank-line-after-section,"Missing blank line after section (""{name}"")",ğŸ› ï¸,D
D411,no-blank-line-before-section,"Missing blank line before section (""{name}"")",ğŸ› ï¸,D
D412,blank-lines-between-header-and-content,"No blank lines allowed between a section header and its content (""{name}"")",ğŸ› ï¸,D
D413,missing-blank-line-after-last-section,"Missing blank line after last section (""{name}"")",ğŸ› ï¸,D
D414,empty-docstring-section,"Section has no content (""{name}"")",,D
D415,missing-terminal-punctuation,"First line should end with a period, question mark, or exclamation point",ğŸ› ï¸,D
D416,missing-section-name-colon,"Section name should end with a colon (""{name}"")",ğŸ› ï¸,D
D417,undocumented-param,Missing argument description in the docstring for {definition}: {name},,D
D418,overload-with-docstring,Function decorated with @overload shouldn't contain a docstring,,D
D419,empty-docstring,Docstring is empty,,D
F401,unused-import,{name} imported but unused; consider using importlib.util.find_spec to test for availability,ğŸ› ï¸,F
F402,import-shadowed-by-loop-var,Import {name} from {row} shadowed by loop variable,,F
F403,undefined-local-with-import-star,from {name} import * used; unable to detect undefined names,,F
F404,late-future-import,from __future__ imports must occur at the beginning of the file,,F
F405,undefined-local-with-import-star-usage,"{name} may be undefined, or defined from star imports",,F
F406,undefined-local-with-nested-import-star-usage,from {name} import * only allowed at module level,,F
F407,future-feature-not-defined,Future feature {name} is not defined,,F
F501,percent-format-invalid-format,%-format string has invalid format string: {message},,F
F502,percent-format-expected-mapping,%-format string expected mapping but got sequence,,F
F503,percent-format-expected-sequence,%-format string expected sequence but got mapping,,F
F504,percent-format-extra-named-arguments,%-format string has unused named argument(s): {message},ğŸ› ï¸,F
F505,percent-format-missing-argument,%-format string is missing argument(s) for placeholder(s): {message},,F
F506,percent-format-mixed-positional-and-named,%-format string has mixed positional and named placeholders,,F
F507,percent-format-positional-count-mismatch,%-format string has {wanted} placeholder(s) but {got} substitution(s),,F
F508,percent-format-star-requires-sequence,%-format string * specifier requires sequence,,F
F509,percent-format-unsupported-format-character,%-format string has unsupported format character {char},,F
F521,string-dot-format-invalid-format,.format call has invalid format string: {message},,F
F522,string-dot-format-extra-named-arguments,.format call has unused named argument(s): {message},ğŸ› ï¸,F
F523,string-dot-format-extra-positional-arguments,.format call has unused arguments at position(s): {message},ğŸ› ï¸,F
F524,string-dot-format-missing-arguments,.format call is missing argument(s) for placeholder(s): {message},,F
F525,string-dot-format-mixing-automatic,.format string mixes automatic and manual numbering,,F
F541,f-string-missing-placeholders,f-string without any placeholders,ğŸ› ï¸,F
F601,multi-value-repeated-key-literal,Dictionary key literal {name} repeated,ğŸ› ï¸,F
F602,multi-value-repeated-key-variable,Dictionary key {name} repeated,ğŸ› ï¸,F
F621,expressions-in-star-assignment,Too many expressions in star-unpacking assignment,,F
F622,multiple-starred-expressions,Two starred expressions in assignment,,F
F631,assert-tuple,"Assert test is a non-empty tuple, which is always True",,F
F632,is-literal,Use == to compare constant literals,ğŸ› ï¸,F
F633,invalid-print-syntax,Use of >> is invalid with print function,,F
F634,if-tuple,"If test is a tuple, which is always True",,F
F701,break-outside-loop,break outside loop,,F
F702,continue-outside-loop,continue not properly in loop,,F
F704,yield-outside-function,{keyword} statement outside of a function,,F
F706,return-outside-function,return statement outside of a function/method,,F
F707,default-except-not-last,An except block as not the last exception handler,,F
F722,forward-annotation-syntax-error,Syntax error in forward annotation: {parse_error},,F
F811,redefined-while-unused,Redefinition of unused {name} from {row},ğŸ› ï¸,F
F821,undefined-name,Undefined name {name}. {tip},,F
F822,undefined-export,Undefined name {name} in __all__,,F
F823,undefined-local,Local variable {name} referenced before assignment,,F
F841,unused-variable,Local variable {name} is assigned to but never used,ğŸ› ï¸,F
F842,unused-annotation,Local variable {name} is annotated but never used,,F
F901,raise-not-implemented,raise NotImplemented should be raise NotImplementedError,ğŸ› ï¸,F
PGH001,eval,No builtin eval() allowed,âŒ,PGH
PGH002,deprecated-log-warn,warn is deprecated in favor of warning,âŒğŸ› ï¸,PGH
PGH003,blanket-type-ignore,Use specific rule codes when ignoring type issues,,PGH
PGH004,blanket-noqa,Use specific rule codes when using noqa,ğŸ› ï¸,PGH
PGH005,invalid-mock-access,Mock method should be called: {name},,PGH
PLC0105,type-name-incorrect-variance,"{kind} name ""{param_name}"" does not reflect its {variance}; consider renaming it to ""{replacement_name}""",,PLC
PLC0131,type-bivariance,{kind} cannot be both covariant and contravariant,,PLC
PLC0132,type-param-name-mismatch,{kind} name {param_name} does not match assigned variable name {var_name},,PLC
PLC0205,single-string-slots,Class __slots__ should be a non-string iterable,,PLC
PLC0206,dict-index-missing-items,Extracting value from dictionary without calling .items(),,PLC
PLC0207,missing-maxsplit-arg,"Replace with {suggested_split_type}(..., maxsplit=1).",ğŸ§ªğŸ› ï¸,PLC
PLC0208,iteration-over-set,Use a sequence type instead of a set when iterating over values,ğŸ› ï¸,PLC
PLC0414,useless-import-alias,Import alias does not rename original package,ğŸ› ï¸,PLC
PLC0415,import-outside-top-level,import should be at the top-level of a file,,PLC
PLC1802,len-test,len({expression}) used as condition without comparison,ğŸ› ï¸,PLC
PLC1901,compare-to-empty-string,{existing} can be simplified to {replacement} as an empty string is falsey,ğŸ§ª,PLC
PLC2401,non-ascii-name,{kind} name {name} contains a non-ASCII character,,PLC
PLC2403,non-ascii-import-name,Module alias {name} contains a non-ASCII character,,PLC
PLC2701,import-private-name,Private name import {name} from external module {module},ğŸ§ª,PLC
PLC2801,unnecessary-dunder-call,Unnecessary dunder call to {method}. {replacement}.,ğŸ§ªğŸ› ï¸,PLC
PLC3002,unnecessary-direct-lambda-call,Lambda expression called directly. Execute the expression inline instead.,,PLC
PLE0100,yield-in-init,__init__ method is a generator,,PLE
PLE0101,return-in-init,Explicit return in __init__,,PLE
PLE0115,nonlocal-and-global,Name {name} is both nonlocal and global,,PLE
PLE0116,continue-in-finally,continue not supported inside finally clause,,PLE
PLE0117,nonlocal-without-binding,Nonlocal name {name} found without binding,,PLE
PLE0118,load-before-global-declaration,Name {name} is used prior to global declaration on {row},,PLE
PLE0237,non-slot-assignment,Attribute {name} is not defined in class's __slots__,,PLE
PLE0241,duplicate-bases,Duplicate base {base} for class {class},ğŸ› ï¸,PLE
